feature_name,feature_pattern,feature_group,source_table,source_variable,time_window_start,time_window_end,aggregation,clinical_rationale,missingness_handling,is_binary,is_missingness_indicator,leakage_risk,allowed_for_model,notes
age,age|age_(young_adult|middle_aged|elderly|very_elderly),demographic,hosp/patients + hosp/admissions,"anchor_age, anchor_year, admittime",pre-ICU,ICU admission,"age at admission, capped at 90",Age is a strong baseline mortality risk factor.,no imputation expected; downstream median if missing,False,False,low,True,
gender_numeric,gender_numeric|gender_[A-Za-z0-9_]+,demographic,hosp/patients,gender,pre-ICU,ICU admission,binary or one-hot encoding,Sex may capture baseline demographic risk differences.,mode imputation if missing,True,False,low,True,
bmi,bmi,demographic,icu/chartevents,"height, weight",0h,6h,first valid height and weight in first 6 hours,Body habitus can affect acuity and physiologic reserve.,downstream median imputation plus bmi_measured flag,False,False,low,True,Legacy extraction previously used a wider BMI window; Phase 2 restricts this to 6h.
bmi_measured,bmi_measured|bmi_missing,missingness,icu/chartevents,"height, weight",0h,6h,observed flag,Anthropometric measurement availability can reflect care process.,binary missingness indicator,True,True,low,True,
vital_summary,(heart_rate|resp_rate|map|temp|sbp|dbp|spo2)_(mean|min|max),vital,icu/chartevents,vital itemids,0h,6h,"time-weighted mean, min, or max",Early vital instability reflects acute physiologic risk.,downstream imputation plus measured flags,False,False,low,True,
vital_measured,(heart_rate|resp_rate|map|temp|sbp|dbp|spo2)(_(mean|min|max))?_(measured|missing),missingness,icu/chartevents,vital itemids,0h,6h,observed flag,Measurement availability is informative in ICU care.,binary missingness indicator,True,True,low,True,
lab_summary,(bun|alkaline_phosphatase|bilirubin|creatinine|glucose|platelets|hemoglobin|wbc|sodium|potassium|lactate|hematocrit|chloride|bicarbonate|anion_gap|inr)_(mean|min|max|delta),lab,hosp/labevents,lab itemids,0h,6h,"mean, min, max, or last minus first",Early laboratory derangements reflect organ dysfunction and severity.,downstream imputation plus measured flags,False,False,low,True,
lab_measured,(bun|alkaline_phosphatase|bilirubin|creatinine|glucose|platelets|hemoglobin|wbc|sodium|potassium|lactate|hematocrit|chloride|bicarbonate|anion_gap|inr)(_(mean|min|max|delta))?_(measured|missing),missingness,hosp/labevents,lab itemids,0h,6h,observed flag,Lab ordering and missingness can reflect clinical concern.,binary missingness indicator,True,True,low,True,
urine_output_total,urine_output_(total|measured),fluid_balance,icu/chartevents,urine output itemids,0h,6h,sum or observed flag,Early oliguria can indicate renal or circulatory dysfunction.,downstream imputation plus measured flag,False,False,low,True,
time_window_value,(heart_rate|resp_rate|map|temp|sbp|dbp|spo2|bun|alkaline_phosphatase|bilirubin|creatinine|glucose|platelets|hemoglobin|wbc|sodium|potassium|lactate|hematocrit|chloride|bicarbonate|anion_gap|inr)_hour_(0|1|2|3|4|6),time_window,icu/chartevents or hosp/labevents,vital/lab itemids,0h,6h,closest observed value inside configured first-6h window,Within-window trajectory can capture early deterioration.,downstream imputation,False,False,low,True,
time_window_change,(heart_rate|resp_rate|map|temp|sbp|dbp|spo2|bun|alkaline_phosphatase|bilirubin|creatinine|glucose|platelets|hemoglobin|wbc|sodium|potassium|lactate|hematocrit|chloride|bicarbonate|anion_gap|inr)_(change_0to6|hourly_change|delta_[0-9]+to[0-9]+),trajectory,derived from first-6h vital/lab features,time-window vital/lab values,0h,6h,difference or rate of change,Direction of change can indicate improvement or deterioration.,downstream imputation,False,False,low,True,
hourly_bin_summary,(heart_rate|resp_rate|map|temp|sbp|dbp|spo2|bun|alkaline_phosphatase|bilirubin|creatinine|glucose|platelets|hemoglobin|wbc|sodium|potassium|lactate|hematocrit|chloride|bicarbonate|anion_gap|inr)_bin_[0-5]_[1-6]h_(mean|min|max|last|observed|count),time_window,icu/chartevents or hosp/labevents,vital/lab itemids,0h,6h,"hourly bin summary, observed flag, or count",Preserves early within-window timing without using post-window events.,value features use downstream imputation; observed/count features use zero when absent,False,False,low,True,
trajectory_summary,(heart_rate|resp_rate|map|temp|sbp|dbp|spo2|bun|alkaline_phosphatase|bilirubin|creatinine|glucose|platelets|hemoglobin|wbc|sodium|potassium|lactate|hematocrit|chloride|bicarbonate|anion_gap|inr)_(first|last|last_minus_first|percent_change|first_2h_mean|last_2h_mean|last2h_minus_first2h|slope_0_6h),trajectory,icu/chartevents or hosp/labevents,vital/lab itemids,0h,6h,"first, last, first-vs-last change, early/late mean, or linear slope",Captures early improvement or deterioration within the prediction window.,downstream imputation,False,False,low,True,
measurement_process,((heart_rate|resp_rate|map|temp|sbp|dbp|spo2|bun|alkaline_phosphatase|bilirubin|creatinine|glucose|platelets|hemoglobin|wbc|sodium|potassium|lactate|hematocrit|chloride|bicarbonate|anion_gap|inr)_(measured_0_6h|measurement_count_0_6h|time_to_first_measurement|time_since_last_measurement_at_6h)|total_(lab|vital|chart)_measurements_0_6h|total_measurements_0_6h),measurement_process,icu/chartevents or hosp/labevents,vital/lab event timestamps,0h,6h,"measurement availability, count, and timing",Early measurement intensity can reflect acuity and care process.,count/flag features use zero when absent; timing features use downstream imputation,False,True,low,True,
prior_diagnosis,has_prior_diagnoses|prev_dx_[A-Za-z0-9_]+_count|prev_dx_count_total,diagnosis,hosp/admissions + hosp/diagnoses_icd,diagnoses before ICU admission,pre-ICU,ICU admission,ICD chapter counts from prior admissions,Comorbidity burden affects early mortality risk.,zero when no prior diagnosis found,False,False,low,True,
has_metastatic_cancer,has_metastatic_cancer,diagnosis,hosp/diagnoses_icd,ICD metastatic cancer codes,uncertain,uncertain,any matching diagnosis for subject,Metastatic cancer is a major mortality risk factor.,zero when no matching diagnosis found,True,False,high,False,Current legacy extractor is not clearly limited to prior or admission-time-known diagnoses.
derived_clinical,has_[A-Za-z0-9_]+|shock_index|shock_lactate_interaction|bun_creatinine_ratio|resp_distress(_score)?|sirs_criteria_count|[A-Za-z0-9_]+_dysfunction|organ_dysfunction_count|age_comorbidity|[A-Za-z0-9_]+_x_[A-Za-z0-9_]+|hr_sbp_ratio|map_variance_x_lactate|sirs_x_lactate,derived_clinical,"derived from first-6h demographics, vitals, labs, and diagnoses",base feature columns,0h or pre-ICU,6h,"clinical rule, ratio, count, or interaction",Combines physiologic signals into clinically interpretable risk proxies.,inherits from source features,False,False,low,True,
organ_dysfunction_proxy,(cardiovascular|respiratory|renal|hepatic|coagulation|metabolic)_dysfunction|organ_dysfunction_count,organ_dysfunction,"derived from first-6h vitals, labs, and urine output",summary clinical feature columns,0h,6h,thresholded dysfunction proxy flags and count,Approximates organ-system derangement with transparent first-window rules.,missing source features do not trigger a proxy flag,False,False,low,True,These are not exact SOFA scores.
clinical_interaction,age_x_prev_dx_count|age_x_shock_index|lactate_x_hypotension|resp_rate_x_spo2_deficit|platelets_x_inr|sirs_x_lactate,interaction,derived from first-6h clinical summaries and prior diagnoses,base feature columns,0h or pre-ICU,6h,pairwise clinical interaction,Captures clinically plausible effect modification without post-window information.,inherits from source features,False,False,low,True,
temporal_trend,(heart_rate|resp_rate|map|temp|sbp|dbp|spo2|bun|alkaline_phosphatase|bilirubin|creatinine|glucose|platelets|hemoglobin|wbc|sodium|potassium|lactate|hematocrit|chloride|bicarbonate|anion_gap|inr)_(pct_change|trend),trajectory,derived from first-6h summaries,min/max or time-window values,0h,6h,percent change or signed trend,Trend features summarize early movement in physiologic state.,downstream imputation,False,False,low,True,
distance_or_polynomial,(heart_rate|resp_rate|map|temp|sbp|dbp|spo2|bun|alkaline_phosphatase|bilirubin|creatinine|glucose|platelets|hemoglobin|wbc|sodium|potassium|lactate|hematocrit|chloride|bicarbonate|anion_gap|inr)(_(mean|min|max))?_(squared|dist_from_normal|log),derived_clinical,derived from first-6h summaries,base vital/lab feature,0h,6h,nonlinear transform,Captures nonlinear risk from abnormal values.,inherits from source features,False,False,low,True,
